时间,委托成交(BTC),市价成交(BTC),总量(BTC),市价比
2025-10-13 15:04,43.2350,50.7130,93.9480,53.98%
2025-10-13 15:05,58.3140,43.1110,101.4250,42.51%
2025-10-13 15:06,71.3550,94.7620,166.1170,57.05%
2025-10-13 15:07,74.9760,56.5480,131.5240,42.99%
2025-10-13 15:08,45.3180,45.6250,90.9430,50.17%
2025-10-13 15:09,149.7930,58.1860,207.9790,27.98%
2025-10-13 15:10,92.6050,252.1850,344.7900,73.14%
2025-10-13 15:11,66.6570,58.1470,124.8040,46.59%
2025-10-13 15:12,140.9270,206.4330,347.3600,59.43%
2025-10-13 15:13,65.7710,84.2430,150.0140,56.16%
2025-10-13 15:14,83.5650,51.9210,135.4860,38.32%
2025-10-13 15:15,38.6680,51.4400,90.1080,57.09%
2025-10-13 15:16,30.0550,57.3590,87.4140,65.62%
2025-10-13 15:17,21.6660,25.1480,46.8140,53.72%
2025-10-13 15:18,46.5660,29.9330,76.4990,39.13%
2025-10-13 15:19,27.6980,51.0000,78.6980,64.80%
2025-10-13 15:20,88.0810,40.3940,128.4750,31.44%
2025-10-13 15:21,2.2200,4.1310,6.3510,65.04%
2025-10-13 15:23,9.2590,12.1380,21.3970,56.73%
2025-10-13 15:24,14.1600,11.5900,25.7500,45.01%
2025-10-13 15:25,0.1790,6.5850,6.7640,97.35%
2025-10-13 15:26,0.2500,0.8850,1.1350,77.97%
2025-10-13 15:27,12.7820,7.8330,20.6150,38.00%
2025-10-13 15:28,3.3260,9.2800,12.6060,73.62%
2025-10-13 15:29,1.4600,11.4510,12.9110,88.69%
2025-10-13 15:32,14.0560,48.5090,62.5650,77.53%
2025-10-13 15:37,26.2830,36.6460,62.9290,58.23%
2025-10-13 15:38,47.2720,44.6880,91.9600,48.60%
2025-10-13 15:39,52.2390,25.9630,78.2020,33.20%
2025-10-13 15:40,27.8220,52.8520,80.6740,65.51%
2025-10-13 15:41,68.8220,99.3010,168.1230,59.06%
2025-10-13 15:42,13.1930,16.8840,30.0770,56.14%
2025-10-13 15:43,20.4740,17.2940,37.7680,45.79%
2025-10-13 15:44,0.6110,8.2930,8.9040,93.14%
2025-10-13 15:45,13.2160,8.8360,22.0520,40.07%
